,start_time_seconds,end_time_seconds,source,emission_rate,duration,num_active_sources,contains_na,prediction_correct,prediction
0,0.0,1799.0,['Wellhead.West'],[1.6523388000000003],1799.0,1,False,False,['Separator.East']
19,57609.0,58240.0,['Separator.East'],[1.1853828000000002],631.0,1,False,True,['Separator.East']
45,113430.0,115229.0,['Wellhead.West'],[1.6437708],1799.0,1,False,True,['Wellhead.West']
64,199855.0,201653.0,['Wellhead.West'],[1.6369164],1798.0,1,False,True,['Wellhead.West']
79,286204.0,288003.0,['Wellhead.West'],[1.6519104000000002],1799.0,1,False,True,['Wellhead.West']
195,603005.0,613803.0,['Tank'],[1.4171472],10798.0,1,False,True,['Tank']
198,653407.0,657006.0,['Wellhead.West'],[2.6762148000000003],3599.0,1,False,True,['Wellhead.West']
199,664208.0,671407.0,['Tank'],[2.8745640000000003],7199.0,1,False,True,['Tank']
208,768618.0,775800.0,['Tank'],[1.4004396],7182.0,1,False,True,['Tank']
209,775800.0,779417.0,['Tank'],[1.4150052],3617.0,1,False,True,['Tank']
210,801020.0,804619.0,['Separator.West'],[0.8422344],3599.0,1,False,True,['Separator.West']
211,815421.0,829820.0,['Tank'],[1.4248583999999995],14399.0,1,False,True,['Tank']
217,873027.0,887425.0,['Separator.West'],[0.6880104],14398.0,1,False,True,['Separator.West']
220,923429.0,934229.0,['Separator.West'],[1.84212],10800.0,1,False,True,['Separator.West']
222,981032.0,991831.0,['Separator.West'],[0.873936],10799.0,1,False,True,['Separator.West']
223,1006234.0,1020633.0,['Separator.East'],[1.9453644],14399.0,1,False,True,['Separator.East']
224,1035036.0,1042235.0,['Separator.East'],[1.1699604],7199.0,1,False,True,['Separator.East']
231,1121443.0,1128641.0,['Separator.West'],[0.8229564000000001],7198.0,1,False,True,['Separator.West']
259,1431506.0,1449505.0,['Wellhead.West'],[3.3462324000000003],17999.0,1,False,True,['Wellhead.West']
279,1597123.0,1604322.0,['Separator.West'],[0.8503740000000002],7199.0,1,False,True,['Separator.West']
304,1906208.0,1913407.0,['Separator.East'],[1.208088],7199.0,1,False,True,['Separator.East']
314,2043020.0,2046619.0,['Separator.West'],[1.7512992],3599.0,1,False,True,['Separator.West']
321,2133028.0,2151027.0,['Wellhead.West'],[3.2746896000000003],17999.0,1,False,True,['Wellhead.West']
346,2403006.0,2405189.0,['Separator.West'],[0.4982292000000001],2183.0,1,False,True,['Separator.West']
363,2572210.0,2583010.0,['Wellhead.West'],[3.5737128],10800.0,1,False,True,['Wellhead.West']
