,start_time_seconds,end_time_seconds,source,emission_rate,duration,num_active_sources,contains_na,prediction_correct,prediction
40,90019.0,93618.0,"['Wellhead.West', 'Separator.West']","[1.1622492, 1.1134115999999998]",3599.0,2,False,False,['Tank' 'Wellhead.West']
42,97223.0,100822.0,"['Separator.East', 'Separator.West']","[0.5286456, 0.5492088000000002]",3599.0,2,False,True,['Separator.East' 'Separator.West']
58,176447.0,180045.0,"['Separator.West', 'Wellhead.West']","[1.122408, 1.1571084000000005]",3598.0,2,False,True,['Separator.West' 'Wellhead.West']
75,262800.0,266399.0,"['Wellhead.West', 'Separator.West']","[1.1648196000000004, 1.122408]",3599.0,2,False,True,['Separator.West' 'Wellhead.West']
196,621005.0,624604.0,"['Separator.West', 'Separator.East']","[0.8422344, 0.6657336]",3599.0,2,False,True,['Separator.East' 'Separator.West']
203,700212.0,707410.0,"['Separator.West', 'Wellhead.East']","[0.4810932, 0.5616324]",7198.0,2,False,True,['Separator.West' 'Wellhead.East']
205,711014.0,721813.0,"['Separator.East', 'Separator.West']","[0.5693436000000001, 0.5911920000000002]",10799.0,2,False,True,['Separator.East' 'Separator.West']
207,729016.0,754214.0,"['Tank', 'Separator.West']","[1.4184324, 1.8224136000000004]",25198.0,2,False,False,['Separator.West' 'Wellhead.East']
212,837023.0,851421.0,"['Tank', 'Separator.West']","[2.1514248, 1.794996]",14398.0,2,False,True,['Separator.West' 'Tank']
219,891029.0,916227.0,"['Wellhead.East', 'Separator.East']","[0.8585136, 0.7784028000000001]",25198.0,2,False,True,['Separator.East' 'Wellhead.East']
229,1063840.0,1089038.0,"['Separator.East', 'Separator.West']","[0.6914376000000001, 0.7252812]",25198.0,2,False,True,['Separator.East' 'Separator.West']
230,1099841.0,1117840.0,"['Wellhead.West', 'Separator.West']","[1.7714340000000002, 1.7491572000000002]",17999.0,2,False,True,['Separator.West' 'Wellhead.West']
234,1161047.0,1164646.0,"['Wellhead.West', 'Separator.West']","[0.6648768000000002, 0.8396640000000001]",3599.0,2,False,False,['Separator.West' 'Tank']
239,1208286.0,1219085.0,"['Separator.East', 'Separator.West']","[0.6473124, 0.6815844000000001]",10799.0,2,False,True,['Separator.East' 'Separator.West']
246,1273089.0,1283887.0,"['Separator.East', 'Wellhead.East']","[1.8459756, 1.846404]",10798.0,2,False,True,['Separator.East' 'Wellhead.East']
253,1341496.0,1355894.0,"['Tank', 'Separator.East']","[0.1760724, 0.6507396]",14398.0,2,False,True,['Separator.East' 'Tank']
255,1363097.0,1373896.0,"['Wellhead.West', 'Tank']","[1.7560116000000006, 4.320414]",10799.0,2,False,False,['Separator.West' 'Wellhead.West']
285,1643928.0,1658327.0,"['Separator.West', 'Wellhead.East']","[0.3645684, 0.3354372]",14399.0,2,False,True,['Separator.West' 'Wellhead.East']
288,1687131.0,1697930.0,"['Separator.West', 'Wellhead.West']","[0.3568572, 0.6580224]",10799.0,2,False,True,['Separator.West' 'Wellhead.West']
290,1708733.0,1719532.0,"['Wellhead.East', 'Separator.West']","[0.3200148, 0.3332952]",10799.0,2,False,True,['Separator.West' 'Wellhead.East']
291,1726735.0,1744734.0,"['Tank', 'Separator.East']","[0.1743588, 0.3435768]",17999.0,2,False,True,['Separator.East' 'Tank']
294,1784338.0,1802336.0,"['Tank', 'Wellhead.East']","[2.8407204000000004, 2.0554632]",17998.0,2,False,False,['Separator.West' 'Tank']
310,1989014.0,1996213.0,"['Wellhead.East', 'Separator.West']","[0.4832352, 0.5050836000000001]",7199.0,2,False,True,['Separator.West' 'Wellhead.East']
311,1999817.0,2010616.0,"['Wellhead.West', 'Separator.West']","[0.8752212, 0.8490888]",10799.0,2,False,True,['Separator.West' 'Wellhead.West']
313,2014219.0,2035817.0,"['Wellhead.West', 'Separator.East']","[0.8760780000000001, 0.4952304]",21598.0,2,False,True,['Separator.East' 'Wellhead.West']
325,2183431.0,2205030.0,"['Wellhead.West', 'Separator.East']","[0.6614496000000001, 0.3521448]",21599.0,2,False,True,['Separator.East' 'Wellhead.West']
342,2388646.0,2399445.0,"['Separator.East', 'Wellhead.East']","[0.7539840000000001, 2.071314]",10799.0,2,False,True,['Separator.East' 'Wellhead.East']
355,2482203.0,2496601.0,"['Wellhead.West', 'Tank']","[1.8930996, 4.3602552]",14398.0,2,False,False,['Tank' 'Wellhead.East']
357,2503803.0,2518203.0,"['Wellhead.West', 'Separator.East']","[0.8602272000000001, 0.7685496000000002]",14400.0,2,False,True,['Separator.East' 'Wellhead.West']
364,2593813.0,2615412.0,"['Wellhead.East', 'Wellhead.West']","[0.7865424000000001, 0.8593704]",21599.0,2,False,True,['Wellhead.East' 'Wellhead.West']
370,2709021.0,2734219.0,"['Separator.West', 'Wellhead.East']","[0.7098588000000001, 0.8465184000000001]",25198.0,2,False,True,['Separator.West' 'Wellhead.East']
384,2856632.0,2860231.0,"['Separator.East', 'Wellhead.West']","[0.4750956, 0.8670816]",3599.0,2,False,False,['Separator.East' 'Tank']
385,2863834.0,2874633.0,"['Separator.East', 'Tank']","[0.4832352, 0.177786]",10799.0,2,False,True,['Separator.East' 'Tank']
386,2881836.0,2896235.0,"['Tank', 'Separator.West']","[0.1833552, 0.8580852000000001]",14399.0,2,False,True,['Separator.West' 'Tank']
388,2943039.0,2957437.0,"['Separator.West', 'Wellhead.West']","[0.6884388, 0.8640828000000002]",14398.0,2,False,True,['Separator.West' 'Wellhead.West']
484,3022206.0,3040205.0,"['Wellhead.East', 'Separator.East']","[0.49266, 0.7759180800000001]",17999.0,2,False,True,['Separator.East' 'Wellhead.East']
486,3076928.0,3083839.0,"['Separator.East', 'Tank']","[1.4976864000000003, 5.6450268]",6911.0,2,False,True,['Separator.East' 'Tank']
488,3115883.0,3130882.0,"['Wellhead.East', 'Separator.West']","[0.2437596, 0.3140172]",14999.0,2,False,True,['Separator.West' 'Wellhead.East']
489,3138084.0,3156983.0,"['Wellhead.West', 'Separator.East']","[0.741132, 0.3110184]",18899.0,2,False,True,['Separator.East' 'Wellhead.West']
490,3167786.0,3188485.0,"['Tank', 'Separator.West']","[4.4690688, 1.5696576]",20699.0,2,False,True,['Separator.West' 'Tank']
492,3195687.0,3215485.0,"['Tank', 'Wellhead.East']","[0.0929628, 0.7278515999999999]",19798.0,2,False,True,['Tank' 'Wellhead.East']
495,3219090.0,3245008.0,"['Wellhead.West', 'Separator.East']","[0.7205688000000001, 0.3320099999999999]",25918.0,2,False,True,['Separator.East' 'Wellhead.West']
503,3289475.0,3303693.0,"['Wellhead.West', 'Wellhead.East']","[0.9587592, 0.6653052]",14218.0,2,False,True,['Wellhead.East' 'Wellhead.West']
510,3343540.0,3362979.0,"['Wellhead.East', 'Tank']","[2.041326, 2.3793336]",19439.0,2,False,True,['Tank' 'Wellhead.East']
515,3409546.0,3424304.0,"['Wellhead.East', 'Wellhead.West']","[0.4318272, 0.884646]",14758.0,2,False,False,['Separator.West' 'Wellhead.West']
